trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.2, 'e': 0.09071795328941251}",20,5,-82.89901393374484,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
121,False,"{'a': 0.2, 'e': 0.08892161745938634}",20,8,-7.560012490022413,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.0871608514619813}",20,6,21.312223875608176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.08543495096732123}",20,0,-11.693902020449592,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.2, 'e': 0.08374322559219596}",25,4,-12.32706698729586,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.0820849986238988}",20,7,20.044973310781632,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.08045960674953244}",25,19,12.386035554937834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.07886639979067495}",20,16,7.944787956464257,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.07730474044329974}",25,11,-33.229255452674984,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.2, 'e': 0.07577400402284548}",25,11,8.791180001704886,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.07427357821433388}",25,14,22.36821198642701,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.07280286282743559}",20,11,14.189453735004518,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.07136126955638605}",20,10,9.253817401117395,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.06994822174465536}",20,11,-5.818885491612299,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.06856315415427791}",20,13,15.554898321046743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.06720551273974976}",20,6,18.733435624315977,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.06587475442640295}",20,8,10.152778899833962,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.06457034689316847}",20,0,-18.388238530011733,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.2, 'e': 0.0632917683596407}",20,0,30.64599093282778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.06203850737735829}",20,1,-4.3849478079811846,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.06081006262521795}",20,14,-29.835302535522455,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.05960594270893937}",25,17,13.228584584703903,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.05842566596450083}",30,2,-25.29769653969751,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 1}",1
